EmpID,Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
RM100000,41,18-25,Yes,Travel_Rarely,866,Sales,27,1,Medical,1,100000,2,Female,77,1,4,Sales Executive,3,Married,71470,10k-15k,3053,7,Y,Yes,17,4,2,80,1,5,6,3,37,7,2,10
RM100001,21,55+,No,Travel_Frequently,418,Research & Development,1,2,Marketing,1,100001,1,Female,39,1,5,Research Scientist,2,Married,128377,15k+,5376,1,Y,No,22,2,3,80,0,39,2,2,10,16,4,13
RM100002,31,55+,No,Travel_Frequently,603,Human Resources,17,3,Other,1,100002,2,Male,68,2,3,Manager,3,Married,108443,0-5k,4612,5,Y,No,16,2,1,80,2,22,6,4,8,15,4,15
RM100003,37,46-55,Yes,Non-Travel,672,Human Resources,2,1,Marketing,1,100003,2,Male,56,1,3,Laboratory Technician,2,Married,104114,15k+,12927,5,Y,No,10,3,4,80,2,14,2,1,20,0,12,11
RM100004,47,46-55,No,Travel_Rarely,619,Sales,22,3,Technical Degree,1,100004,2,Female,71,2,5,Sales Executive,2,Single,77070,0-5k,24301,2,Y,Yes,22,1,1,80,0,30,4,4,19,5,14,6
RM100005,33,55+,No,Non-Travel,893,Sales,12,2,Medical,1,100005,1,Male,77,4,2,Sales Executive,4,Divorced,181902,10k-15k,7400,8,Y,No,15,1,2,80,1,31,0,3,37,4,12,14
RM100006,52,26-35,Yes,Travel_Rarely,1344,Human Resources,19,3,Technical Degree,1,100006,1,Female,98,1,4,Sales Executive,2,Married,131493,5k-10k,4872,3,Y,No,17,3,1,80,3,12,3,1,17,6,6,5
RM100007,26,36-45,Yes,Travel_Rarely,428,Sales,19,5,Medical,1,100007,2,Female,57,2,2,Research Scientist,1,Single,87360,15k+,10082,10,Y,Yes,17,3,3,80,2,6,4,4,5,3,15,0
RM100008,22,46-55,Yes,Travel_Frequently,252,Research & Development,10,2,Life Sciences,1,100008,1,Female,61,2,2,Research Scientist,2,Divorced,100644,10k-15k,11397,1,Y,No,24,3,2,80,1,1,6,1,30,18,12,16
RM100009,20,55+,Yes,Travel_Frequently,1291,Human Resources,30,1,Technical Degree,1,100009,3,Male,40,1,3,Research Scientist,3,Divorced,175136,5k-10k,8966,5,Y,No,14,4,3,80,1,10,4,3,22,16,3,13
